Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DeepSpeech_1,700,161,20,5,1,32,2,
DeepSpeech_2,700,161,20,5,1,32,2,
DeepSpeech_3,700,161,20,5,1,32,2,
DeepSpeech_4,341,79,10,5,32,32,2,
DeepSpeech_5,341,79,10,5,32,32,2,
DeepSpeech_6,341,79,10,5,32,32,2,
OCR_1,480,48,3,3,1,16,1,
OCR_2,240,24,3,3,16,32,1,
OCR_3,120,12,3,3,32,64,1,
OCR_4,60,6,3,3,64,128,1,
FaceRecognition_1,108,108,3,3,3,64,2,
FaceRecognition_2,54,54,3,3,64,64,1,
FaceRecognition_3,27,27,3,3,128,128,1,
FaceRecognition_4,14,14,3,3,128,256,1,
FaceRecognition_5,7,7,3,3,256,512,1,
Vision_1,224,224,3,3,3,64,1,
Vision_2,112,112,3,3,64,128,1,
Vision_3,56,56,3,3,128,256,1,
Vision_4,28,28,3,3,256,512,1,
Vision_5,14,14,3,3,512,512,1,
Vision_6,7,7,3,3,512,512,1,
Vision_7,224,224,3,3,3,64,1,
Vision_8,112,112,3,3,64,128,1,
Vision_9,56,56,3,3,128,256,1,
Vision_10,28,28,3,3,256,512,1,
Vision_11,14,14,3,3,512,512,1,
Vision_12,7,7,3,3,512,512,1,
Vision_13,224,224,7,7,3,64,2,
Vision_14,28,28,5,5,192,32,1,
Vision_15,28,28,1,1,192,64,1,
Vision_16,14,14,5,5,512,48,1,
Vision_17,14,14,1,1,512,192,1,
Vision_18,7,7,1,1,832,256,1,
Vision_19,7,7,5,5,832,128,1,
Vision_20,224,224,7,7,3,64,2,
Vision_21,28,28,5,5,192,32,1,
Vision_22,28,28,1,1,192,64,1,
Vision_23,14,14,5,5,512,48,1,
Vision_24,14,14,1,1,512,192,1,
Vision_25,7,7,1,1,832,256,1,
Vision_26,7,7,5,5,832,128,1,
FaceRecognitionID_1,56,56,3,3,64,64,1,
FaceRecognitionID_2,56,56,1,1,64,256,2,
FaceRecognitionID_3,28,28,3,3,128,128,1,
FaceRecognitionID_4,28,28,1,1,128,512,2,
FaceRecognitionID_5,14,14,1,1,256,256,1,
FaceRecognitionID_6,14,14,3,3,256,256,1,
FaceRecognitionID_7,14,14,1,1,256,1024,2,
FaceRecognitionID_8,7,7,1,1,512,512,1,
FaceRecognitionID_9,7,7,1,1,2048,512,2,
FaceRecognitionID_10,56,56,3,3,64,64,1,
FaceRecognitionID_11,56,56,1,1,64,256,2,
FaceRecognitionID_12,28,28,3,3,128,128,1,
FaceRecognitionID_13,28,28,1,1,128,512,2,
FaceRecognitionID_14,14,14,1,1,256,256,1,
FaceRecognitionID_15,14,14,3,3,256,256,1,
FaceRecognitionID_16,14,14,1,1,256,1024,2,
FaceRecognitionID_17,7,7,1,1,512,512,1,
FaceRecognitionID_18,7,7,1,1,2048,512,2,
SpeakerID_1,700,161,5,5,1,64,2,
SpeakerID_2,350,80,3,3,64,64,1,
SpeakerID_3,350,80,5,5,64,128,2,
SpeakerID_4,175,40,3,3,128,128,1,
SpeakerID_5,175,40,5,5,128,256,2,
SpeakerID_6,84,20,3,3,256,256,1,
SpeakerID_7,84,20,5,5,256,512,2,
SpeakerID_8,42,10,3,3,512,512,1,
SpeakerID_9,700,161,5,5,1,64,2,
SpeakerID_10,350,80,3,3,64,64,1,
SpeakerID_11,350,80,5,5,64,128,2,
SpeakerID_12,175,40,3,3,128,128,1,
SpeakerID_13,175,40,5,5,128,256,2,
SpeakerID_14,84,20,3,3,256,256,1,
SpeakerID_15,84,20,5,5,256,512,2,
SpeakerID_16,42,10,3,3,512,512,1,
Resnet_1,112,112,1,1,64,64,1,
Resnet_2,56,56,1,1,64,256,1,
Resnet_3,56,56,1,1,256,64,1,
Resnet_4,56,56,1,1,256,128,2,
Resnet_5,28,28,1,1,128,512,1,
Resnet_6,28,28,1,1,512,128,1,
Resnet_7,28,28,1,1,512,256,2,
Resnet_8,14,14,1,1,256,1024,1,
Resnet_9,28,28,1,1,512,1024,2,
Resnet_10,14,14,1,1,1024,256,1,
Resnet_11,14,14,1,1,256,1024,1,
Resnet_12,14,14,1,1,1024,512,2,
Resnet_13,7,7,3,3,512,512,1,
Resnet_14,7,7,1,1,512,2048,1,
Resnet_15,14,14,1,1,1024,2048,2,
Resnet_16,7,7,1,1,2048,512,1,
Resnet_17,112,112,1,1,64,64,1,
Resnet_18,56,56,1,1,64,256,1,
Resnet_19,56,56,1,1,256,64,1,
Resnet_20,56,56,1,1,256,128,2,
Resnet_21,28,28,1,1,128,512,1,
Resnet_22,28,28,1,1,512,128,1,
Resnet_23,28,28,1,1,512,256,2,
Resnet_24,14,14,1,1,256,1024,1,
Resnet_25,28,28,1,1,512,1024,2,
Resnet_26,14,14,1,1,1024,256,1,
Resnet_27,14,14,1,1,256,1024,1,
Resnet_28,14,14,1,1,1024,512,2,
Resnet_29,7,7,3,3,512,512,1,
Resnet_30,7,7,1,1,512,2048,1,
Resnet_31,14,14,1,1,1024,2048,2,
Resnet_32,7,7,1,1,2048,512,1,
