Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
FaceRecognitionID_1,56,56,3,3,64,64,1,
FaceRecognitionID_2,56,56,1,1,64,256,2,
FaceRecognitionID_3,28,28,3,3,128,128,1,
FaceRecognitionID_4,28,28,1,1,128,512,2,
FaceRecognitionID_5,14,14,1,1,256,256,1,
FaceRecognitionID_6,14,14,3,3,256,256,1,
FaceRecognitionID_7,14,14,1,1,256,1024,2,
FaceRecognitionID_8,7,7,1,1,512,512,1,
FaceRecognitionID_9,7,7,1,1,2048,512,2,
FaceRecognitionID_10,56,56,3,3,64,64,1,
FaceRecognitionID_11,56,56,1,1,64,256,2,
FaceRecognitionID_12,28,28,3,3,128,128,1,
FaceRecognitionID_13,28,28,1,1,128,512,2,
FaceRecognitionID_14,14,14,1,1,256,256,1,
FaceRecognitionID_15,14,14,3,3,256,256,1,
FaceRecognitionID_16,14,14,1,1,256,1024,2,
FaceRecognitionID_17,7,7,1,1,512,512,1,
FaceRecognitionID_18,7,7,1,1,2048,512,2,
