Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Resnet_1,112,112,1,1,64,64,1,
Resnet_2,56,56,1,1,64,256,1,
Resnet_3,56,56,1,1,256,64,1,
Resnet_4,56,56,1,1,256,128,2,
Resnet_5,28,28,1,1,128,512,1,
Resnet_6,28,28,1,1,512,128,1,
Resnet_7,28,28,1,1,512,256,2,
Resnet_8,14,14,1,1,256,1024,1,
Resnet_9,28,28,1,1,512,1024,2,
Resnet_10,14,14,1,1,1024,256,1,
Resnet_11,14,14,1,1,256,1024,1,
Resnet_12,14,14,1,1,1024,512,2,
Resnet_13,7,7,3,3,512,512,1,
Resnet_14,7,7,1,1,512,2048,1,
Resnet_15,14,14,1,1,1024,2048,2,
Resnet_16,7,7,1,1,2048,512,1,
Resnet_17,112,112,1,1,64,64,1,
Resnet_18,56,56,1,1,64,256,1,
Resnet_19,56,56,1,1,256,64,1,
Resnet_20,56,56,1,1,256,128,2,
Resnet_21,28,28,1,1,128,512,1,
Resnet_22,28,28,1,1,512,128,1,
Resnet_23,28,28,1,1,512,256,2,
Resnet_24,14,14,1,1,256,1024,1,
Resnet_25,28,28,1,1,512,1024,2,
Resnet_26,14,14,1,1,1024,256,1,
Resnet_27,14,14,1,1,256,1024,1,
Resnet_28,14,14,1,1,1024,512,2,
Resnet_29,7,7,3,3,512,512,1,
Resnet_30,7,7,1,1,512,2048,1,
Resnet_31,14,14,1,1,1024,2048,2,
Resnet_32,7,7,1,1,2048,512,1,
