Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
SpeakerID_1,700,161,5,5,1,64,2,
SpeakerID_2,350,80,3,3,64,64,1,
SpeakerID_3,350,80,5,5,64,128,2,
SpeakerID_4,175,40,3,3,128,128,1,
SpeakerID_5,175,40,5,5,128,256,2,
SpeakerID_6,84,20,3,3,256,256,1,
SpeakerID_7,84,20,5,5,256,512,2,
SpeakerID_8,42,10,3,3,512,512,1,
SpeakerID_9,700,161,5,5,1,64,2,
SpeakerID_10,350,80,3,3,64,64,1,
SpeakerID_11,350,80,5,5,64,128,2,
SpeakerID_12,175,40,3,3,128,128,1,
SpeakerID_13,175,40,5,5,128,256,2,
SpeakerID_14,84,20,3,3,256,256,1,
SpeakerID_15,84,20,5,5,256,512,2,
SpeakerID_16,42,10,3,3,512,512,1,
