Layer, IFMAP Width, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Vision_1,224,224,3,3,3,64,1,
Vision_2,112,112,3,3,64,128,1,
Vision_3,56,56,3,3,128,256,1,
Vision_4,28,28,3,3,256,512,1,
Vision_5,14,14,3,3,512,512,1,
Vision_6,7,7,3,3,512,512,1,
Vision_7,224,224,3,3,3,64,1,
Vision_8,112,112,3,3,64,128,1,
Vision_9,56,56,3,3,128,256,1,
Vision_10,28,28,3,3,256,512,1,
Vision_11,14,14,3,3,512,512,1,
Vision_12,7,7,3,3,512,512,1,
Vision_13,224,224,7,7,3,64,2,
Vision_14,28,28,5,5,192,32,1,
Vision_15,28,28,1,1,192,64,1,
Vision_16,14,14,5,5,512,48,1,
Vision_17,14,14,1,1,512,192,1,
Vision_18,7,7,1,1,832,256,1,
Vision_19,7,7,5,5,832,128,1,
Vision_20,224,224,7,7,3,64,2,
Vision_21,28,28,5,5,192,32,1,
Vision_22,28,28,1,1,192,64,1,
Vision_23,14,14,5,5,512,48,1,
Vision_24,14,14,1,1,512,192,1,
Vision_25,7,7,1,1,832,256,1,
Vision_26,7,7,5,5,832,128,1,
