Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Machine_Translation_1_gate_x, 1, 1, 1, 1, 512, 4, 1,
Machine_Translation_1_gate_h, 1, 1, 1, 1, 512, 4, 1,
Machine_Translation_1_ptwise1, 1, 1, 1, 1, 512, 1, 1,
Machine_Translation_1_ptwise2, 1, 1, 1, 1, 512, 1, 1,
Machine_Translation_1_ptwise3, 1, 1, 1, 1, 512, 1, 1,
Machine_Translation_2_gate_x, 1, 1, 1, 1, 1024, 4, 1,
Machine_Translation_2_gate_h, 1, 1, 1, 1, 1024, 4, 1,
Machine_Translation_2_ptwise1, 1, 1, 1, 1, 1024, 1, 1,
Machine_Translation_2_ptwise2, 1, 1, 1, 1, 1024, 1, 1,
Machine_Translation_2_ptwise3, 1, 1, 1, 1, 1024, 1, 1,
Machine_Translation_3_gate_x, 1, 1, 1, 1, 2048, 4, 1,
Machine_Translation_3_gate_h, 1, 1, 1, 1, 2048, 4, 1,
Machine_Translation_3_ptwise1, 1, 1, 1, 1, 2048, 1, 1,
Machine_Translation_3_ptwise2, 1, 1, 1, 1, 2048, 1, 1,
Machine_Translation_3_ptwise3, 1, 1, 1, 1, 2048, 1, 1,
