Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
DeepSpeech_output_layer_1, 1, 5124, 1, 1, 2048, 700, 1, 
DeepSpeech_output_layer_2, 1, 35, 1, 1, 2048, 700, 1, 
DeepSpeech_output_layer_3, 1, 5124, 1, 1, 2560, 700, 1, 
DeepSpeech_output_layer_4, 1, 35, 1, 1, 2560, 700, 1, 
DeepSpeech_output_layer_5, 1, 5124, 1, 1, 2048, 1500, 1, 
DeepSpeech_output_layer_6, 1, 35, 1, 1, 2048, 1500, 1, 
DeepSpeech_output_layer_7, 1, 5124, 1, 1, 2560, 1500, 1, 
DeepSpeech_output_layer_8, 1, 35, 1, 1, 2560, 1500, 1, 
DeepSpeech_1, 1, 7680, 1, 1, 2560, 1, 1, 
DeepSpeech_2, 1, 7680, 1, 1, 2560, 2, 1, 
DeepSpeech_3, 1, 7680, 1, 1, 2560, 4, 1, 
DeepSpeech_4, 1, 3072, 1, 1, 1024, 1, 1, 
DeepSpeech_5, 1, 3072, 1, 1, 1024, 2, 1, 
DeepSpeech_6, 1, 3072, 1, 1, 1024, 4, 1, 
KWS, 1, 64, 1, 1, 1216, 1, 1, 
Language_Modelling_1, 1, 512, 1, 1, 500000, 1, 1, 
Language_Modelling_2, 1, 1024, 1, 1, 500000, 1, 1, 
Language_Modelling_3, 1, 512, 1, 1, 500000, 2, 1, 
Language_Modelling_4, 1, 1024, 1, 1, 500000, 2, 1, 
Language_Modelling_5, 1, 512, 1, 1, 500000, 4, 1, 
Language_Modelling_6, 1, 1024, 1, 1, 500000, 4, 1, 
Speaker_ID, 1, 1024, 1, 1, 512, 700, 1, 
DeepSpeech_gru_affine_1, 1, 7680, 1, 1, 2560, 1500, 1, 
DeepSpeech_gru_affine_2, 1, 6144, 1, 1, 2048, 1500, 1, 
DeepSpeech_gru_affine_3, 1, 4608, 1, 1, 1536, 1500, 1, 
DeepSpeech_gru_affine_4, 1, 8448, 1, 1, 2816, 1500, 1, 
DeepSpeech_gru_affine_5, 1, 3072, 1, 1, 1024, 1500, 1, 
