Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Sentimental_seqLSTM,
Embedding_layer, 1, 256, 1, 1, 30000, 1, 1, 
FC, 1, 1, 1, 1, 256, 1024, 1, 
LSTM1_igate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_igate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_fgate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_fgate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_cgate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_cgate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_ogate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_ogate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM1_ptwise1, 1, 1, 1, 1, 1024, 1, 1, 
LSTM1_ptwise2, 1, 1, 1, 1, 1024, 1, 1, 
LSTM1_ptwise3, 1, 1, 1, 1, 1024, 1, 1, 
FC, 1, 1, 1, 1, 2048, 1024, 1, 
LSTM2_igate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_igate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_fgate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_fgate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_cgate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_cgate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_ogate_h, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_ogate_x, 1, 1, 1, 1, 1024, 1024, 1,
LSTM2_ptwise1, 1, 1, 1, 1, 1024, 1, 1, 
LSTM2_ptwise2, 1, 1, 1, 1, 1024, 1, 1, 
LSTM2_ptwise3, 1, 1, 1, 1, 1024, 1, 1, 
FC, 1, 1, 1, ,1 2, 2, 1,
