Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,
Conv1, 1080, 1920, 3, 3, 3, 32, 1,
Conv2, 541, 961, 3, 3, 32, 64, 1,
Conv3, 271, 481, 3, 3, 64, 128, 1,
Conv4, 269, 479, 1, 1, 128, 64, 1,
Conv5, 271, 481, 3, 3, 64, 128, 1,
Conv6, 136, 241, 3, 3, 128, 256, 1,
Conv7, 134, 239, 1, 1, 256, 128, 1,
Conv8, 136, 241, 3, 3, 128, 256, 1,
Conv9, 69, 121, 3, 3, 256, 512, 1,
Conv10, 67, 119, 1, 1, 512, 256, 1,
Conv11, 69, 121, 3, 3, 256, 512, 1,
Conv12, 67, 119, 1, 1, 512, 256, 1,
Conv13, 69, 121, 3, 3, 256, 512, 1,
Conv14, 35, 61, 3, 3, 512, 1024, 1,
Conv15, 33, 59, 1, 1, 1024, 512, 1,
Conv16, 35, 61, 3, 3, 512, 1024, 1,
Conv17, 33, 59, 1, 1, 1024, 512, 1,
Conv18, 35, 61, 3, 3, 512, 1024, 1,
Conv19, 35, 61, 3, 3, 1024, 1024, 1,
Conv20, 35, 61, 3, 3, 1024, 1024, 1,
Conv21, 35, 61, 3, 3, 3072, 1024, 1,
Conv22, 33, 59, 1, 1, 1024, 425, 1,
